"id","name","sequence","parent","balance_sheet","income_statement"
"es_balance_normal_12720","2. Otros activos líquidos equivalentes",12720,"es_balance_normal_12700",,
"es_balance_normal_10000","TOTAL ACTIVO (A + B)",10000,"es_balance_normal",,
"es_balance_normal_20000","A) PATRIMONIO NETO",20000,"es_balance_normal",,
"es_balance_normal_21000","A-1) Fondos propios",21000,"es_balance_normal_20000",,
"es_balance_normal_21100","I. Capital",21100,"es_balance_normal_21000",,
"es_balance_normal_21110","1. Capital escriturado",21110,"es_balance_normal_21100",,
"es_balance_normal_21120","2. (Capital no exigido) ",21120,"es_balance_normal_21100",,
"es_balance_normal_21200","II. Prima de emisión",21200,"es_balance_normal_21000",,
"es_balance_normal_21300","III. Reservas",21300,"es_balance_normal_21000",,
"es_balance_normal_21310","1. Legal y estatutarias",21310,"es_balance_normal_21300",,
"es_balance_normal_21320","2. Otras reservas",21320,"es_balance_normal_21300",,
"es_balance_normal_21400","IV. (Acciones y participaciones en patrimonio propias)",21400,"es_balance_normal_21000",,
"es_balance_normal_21500","V. Resultados de ejercicios anteriores",21500,"es_balance_normal_21000",,
"es_balance_normal_21510","1. Remanente",21510,"es_balance_normal_21500",,
"es_balance_normal_21520","2. (Resultados negativos de ejercicios anteriores)",21520,"es_balance_normal_21500",,
"es_balance_normal_21600","VI. Otras aportaciones de socios",21600,"es_balance_normal_21000",,
"es_balance_normal_21700","VII. Resultado del ejercicio",21700,"es_balance_normal_21000",,
"es_balance_normal_21800","VIII. (Dividendo a cuenta)",21800,"es_balance_normal_21000",,
"es_balance_normal_21900","IX. Otros instrumentos de patrimonio neto",21900,"es_balance_normal_21000",,
"es_balance_normal_22000","A-2) Ajustes por cambios de valor ",22000,"es_balance_normal_20000",,
"es_balance_normal_22100","I. Activos financieros disponibles para la venta",22100,"es_balance_normal_22000",,
"es_balance_normal_22200","II. Operaciones de cobertura",22200,"es_balance_normal_22000",,
"es_balance_normal_22300","III. Activos no corrientes y pasivos vinculados, mantenidos para la venta",22300,"es_balance_normal_22000",,
"es_balance_normal_22400","IV. Diferencia de conversión",22400,"es_balance_normal_22000",,
"es_balance_normal_22500","V. Otros",22500,"es_balance_normal_22000",,
"es_balance_normal_23000","A-3) Subvenciones, donaciones y legados recibidos",23000,"es_balance_normal_20000",,
"es_balance_normal_31000","B) PASIVO NO CORRIENTE",31000,"es_balance_normal",,
"es_balance_normal_31100","I. Provisiones a largo plazo",31100,"es_balance_normal_31000",,
"es_balance_normal_31110","1. Obligaciones por prestaciones a largo plazo al personal ",31110,"es_balance_normal_31100",,
"es_balance_normal_31120","2. Actuaciones medioambientales",31120,"es_balance_normal_31100",,
"es_balance_normal_31130","3. Provisiones por reestructuración",31130,"es_balance_normal_31100",,
"es_balance_normal_31140","4. Otras provisiones",31140,"es_balance_normal_31100",,
"es_balance_normal_31200","II. Deudas a largo plazo",31200,"es_balance_normal_31000",,
"es_balance_normal_31210","1. Obligaciones y otros valores negociables",31210,"es_balance_normal_31200",,
"es_balance_normal_31220","2. Deudas con entidades de crédito",31220,"es_balance_normal_31200",,
