"id","rule","origin_tax","tax","group"
"fptt_pymes_irpf37_4","fp_pymes_irpf37","iva_pymes_sop_4","iva_pymes_sop_4","tax_group_purchase_pymes"
"fptt_pymes_irpf37_4_2","fp_pymes_irpf37","iva_pymes_sop_4","irpf_pymes_37","tax_group_purchase_pymes"
"fptt_pymes_irpf35sale_21","fp_pymes_irpf35","iva_pymes_rep_21","iva_pymes_rep_21","tax_group_sale_pymes"
"fptt_pymes_irpf35sale_21_2","fp_pymes_irpf35","iva_pymes_rep_21","irpf_pymes_sale_35","tax_group_sale_pymes"
"fptt_pymes_irpf35sale_10","fp_pymes_irpf35","iva_pymes_rep_10","iva_pymes_rep_10","tax_group_sale_pymes"
"fptt_pymes_irpf35sale_10_2","fp_pymes_irpf35","iva_pymes_rep_10","irpf_pymes_sale_35","tax_group_sale_pymes"
"fptt_pymes_irpf35sale_4","fp_pymes_irpf35","iva_pymes_rep_4","iva_pymes_rep_4","tax_group_sale_pymes"
"fptt_pymes_irpf35sale_4_2","fp_pymes_irpf35","iva_pymes_rep_4","irpf_pymes_sale_35","tax_group_sale_pymes"
"fptt_pymes_irpf35_21","fp_pymes_irpf35","iva_pymes_sop_21","iva_pymes_sop_21","tax_group_purchase_pymes"
"fptt_pymes_irpf35_21_2","fp_pymes_irpf35","iva_pymes_sop_21","irpf_pymes_35","tax_group_purchase_pymes"
"fptt_pymes_irpf35_10","fp_pymes_irpf35","iva_pymes_sop_10","iva_pymes_sop_10","tax_group_purchase_pymes"
"fptt_pymes_irpf35_10_2","fp_pymes_irpf35","iva_pymes_sop_10","irpf_pymes_35","tax_group_purchase_pymes"
"fptt_pymes_irpf35_4","fp_pymes_irpf35","iva_pymes_sop_4","iva_pymes_sop_4","tax_group_purchase_pymes"
"fptt_pymes_irpf35_4_2","fp_pymes_irpf35","iva_pymes_sop_4","irpf_pymes_35","tax_group_purchase_pymes"
"fptt_pymes_irpf21sale_21","fp_pymes_irpf21","iva_pymes_rep_21","iva_pymes_rep_21","tax_group_sale_pymes"
"fptt_pymes_irpf21sale_21_2","fp_pymes_irpf21","iva_pymes_rep_21","irpf_pymes_sale_21","tax_group_sale_pymes"
"fptt_pymes_irpf21sale_10","fp_pymes_irpf21","iva_pymes_rep_10","iva_pymes_rep_10","tax_group_sale_pymes"
"fptt_pymes_irpf21sale_10_2","fp_pymes_irpf21","iva_pymes_rep_10","irpf_pymes_sale_21","tax_group_sale_pymes"
"fptt_pymes_irpf21sale_4","fp_pymes_irpf21","iva_pymes_rep_4","iva_pymes_rep_4","tax_group_sale_pymes"
"fptt_pymes_irpf21sale_4_2","fp_pymes_irpf21","iva_pymes_rep_4","irpf_pymes_sale_21","tax_group_sale_pymes"
"fptt_pymes_irpf21_21","fp_pymes_irpf21","iva_pymes_sop_21","iva_pymes_sop_21","tax_group_purchase_pymes"
"fptt_pymes_irpf21_21_2","fp_pymes_irpf21","iva_pymes_sop_21","irpf_pymes_21","tax_group_purchase_pymes"
"fptt_pymes_irpf21_10","fp_pymes_irpf21","iva_pymes_sop_10","iva_pymes_sop_10","tax_group_purchase_pymes"
"fptt_pymes_irpf21_10_2","fp_pymes_irpf21","iva_pymes_sop_10","irpf_pymes_21","tax_group_purchase_pymes"
"fptt_pymes_irpf21_4","fp_pymes_irpf21","iva_pymes_sop_4","iva_pymes_sop_4","tax_group_purchase_pymes"
"fptt_pymes_irpf21_4_2","fp_pymes_irpf21","iva_pymes_sop_4","irpf_pymes_21","tax_group_purchase_pymes"
"fptt_pymes_irpf20sale_21","fp_pymes_irpf20","iva_pymes_rep_21","iva_pymes_rep_21","tax_group_sale_pymes"
"fptt_pymes_irpf20sale_21_2","fp_pymes_irpf20","iva_pymes_rep_21","irpf_pymes_sale_20","tax_group_sale_pymes"
"fptt_pymes_irpf20sale_16_2","fp_pymes_irpf20","iva_pymes_rep_16","irpf_pymes_sale_20","tax_group_sale_pymes"
"fptt_pymes_irpf20sale_10","fp_pymes_irpf20","iva_pymes_rep_10","iva_pymes_rep_10","tax_group_sale_pymes"
"fptt_pymes_irpf20sale_10_2","fp_pymes_irpf20","iva_pymes_rep_10","irpf_pymes_sale_20","tax_group_sale_pymes"
"fptt_pymes_irpf20sale_4","fp_pymes_irpf20","iva_pymes_rep_4","iva_pymes_rep_4","tax_group_sale_pymes"
"fptt_pymes_irpf20sale_4_2","fp_pymes_irpf20","iva_pymes_rep_4","irpf_pymes_sale_20","tax_group_sale_pymes"
"fptt_pymes_irpf20_21","fp_pymes_irpf20","iva_pymes_sop_21","iva_pymes_sop_21","tax_group_purchase_pymes"
"fptt_pymes_irpf20_21_2","fp_pymes_irpf20","iva_pymes_sop_21","irpf_pymes_20","tax_group_purchase_pymes"
"fptt_pymes_irpf20_10","fp_pymes_irpf20","iva_pymes_sop_10","iva_pymes_sop_10","tax_group_purchase_pymes"
"fptt_pymes_irpf20_10_2","fp_pymes_irpf20","iva_pymes_sop_10","irpf_pymes_20","tax_group_purchase_pymes"
"fptt_pymes_irpf20_4","fp_pymes_irpf20","iva_pymes_sop_4","iva_pymes_sop_4","tax_group_purchase_pymes"
"fptt_pymes_irpf20_4_2","fp_pymes_irpf20","iva_pymes_sop_4","irpf_pymes_20","tax_group_purchase_pymes"
"fptt_pymes_irpf19sale_21","fp_pymes_irpf19","iva_pymes_rep_21","iva_pymes_rep_21","tax_group_sale_pymes"
"fptt_pymes_irpf19sale_21_2","fp_pymes_irpf19","iva_pymes_rep_21","irpf_pymes_sale_19","tax_group_sale_pymes"
"fptt_pymes_irpf19sale_10","fp_pymes_irpf19","iva_pymes_rep_10","iva_pymes_rep_10","tax_group_sale_pymes"
"fptt_pymes_irpf19sale_10_2","fp_pymes_irpf19","iva_pymes_rep_10","irpf_pymes_sale_19","tax_group_sale_pymes"
"fptt_pymes_irpf19sale_4","fp_pymes_irpf19","iva_pymes_rep_4","iva_pymes_rep_4","tax_group_sale_pymes"
"fptt_pymes_irpf19sale_4_2","fp_pymes_irpf19","iva_pymes_rep_4","irpf_pymes_sale_19","tax_group_sale_pymes"
"fptt_pymes_irpf19_21","fp_pymes_irpf19","iva_pymes_sop_21","iva_pymes_sop_21","tax_group_purchase_pymes"
"fptt_pymes_irpf19_21_2","fp_pymes_irpf19","iva_pymes_sop_21","irpf_pymes_19","tax_group_purchase_pymes"
"fptt_pymes_irpf19_10","fp_pymes_irpf19","iva_pymes_sop_10","iva_pymes_sop_10","tax_group_purchase_pymes"
"fptt_pymes_irpf19_10_2","fp_pymes_irpf19","iva_pymes_sop_10","irpf_pymes_19","tax_group_purchase_pymes"
"fptt_pymes_irpf19_4","fp_pymes_irpf19","iva_pymes_sop_4","iva_pymes_sop_4","tax_group_purchase_pymes"
"fptt_pymes_irpf19_4_2","fp_pymes_irpf19","iva_pymes_sop_4","irpf_pymes_19","tax_group_purchase_pymes"
"fptt_pymes_irpf18sale_21","fp_pymes_irpf18","iva_pymes_rep_21","iva_pymes_rep_21","tax_group_sale_pymes"
"fptt_pymes_irpf18sale_21_2","fp_pymes_irpf18","iva_pymes_rep_21","irpf_pymes_sale_18","tax_group_sale_pymes"
"fptt_pymes_irpf18sale_10","fp_pymes_irpf18","iva_pymes_rep_10","iva_pymes_rep_10","tax_group_sale_pymes"
"fptt_pymes_irpf18sale_10_2","fp_pymes_irpf18","iva_pymes_rep_10","irpf_pymes_sale_18","tax_group_sale_pymes"
"fptt_pymes_irpf18sale_4","fp_pymes_irpf18","iva_pymes_rep_4","iva_pymes_rep_4","tax_group_sale_pymes"
"fptt_pymes_irpf18sale_4_2","fp_pymes_irpf18","iva_pymes_rep_4","irpf_pymes_sale_18","tax_group_sale_pymes"
"fptt_pymes_irpf18_21","fp_pymes_irpf18","iva_pymes_sop_21","iva_pymes_sop_21","tax_group_purchase_pymes"
"fptt_pymes_irpf18_21_2","fp_pymes_irpf18","iva_pymes_sop_21","irpf_pymes_18","tax_group_purchase_pymes"
"fptt_pymes_irpf18_10","fp_pymes_irpf18","iva_pymes_sop_10","iva_pymes_sop_10","tax_group_purchase_pymes"
"fptt_pymes_irpf18_8_10","fp_pymes_irpf18","iva_pymes_sop_10","irpf_pymes_18","tax_group_purchase_pymes"
