"id","rule","origin_tax","tax","group"
"fptt_irpf19_0","fp_irpf19","iva_sop_ex","iva_sop_ex","tax_group_purchase"
"fptt_irpf19_0_2","fp_irpf19","iva_sop_ex","irpf_19","tax_group_purchase"
"fptt_irpf18_0","fp_irpf18","iva_sop_ex","iva_sop_ex","tax_group_purchase"
"fptt_irpf18_0_2","fp_irpf18","iva_sop_ex","irpf_18","tax_group_purchase"
"fptt_irpf15_0","fp_irpf15","iva_sop_ex","iva_sop_ex","tax_group_purchase"
"fptt_irpf15_0_2","fp_irpf15","iva_sop_ex","irpf_15","tax_group_purchase"
"fptt_irpf9_0","fp_irpf9","iva_sop_ex","iva_sop_ex","tax_group_purchase"
"fptt_irpf9_0_2","fp_irpf9","iva_sop_ex","irpf_9","tax_group_purchase"
"fptt_irpf7_0","fp_irpf7","iva_sop_ex","iva_sop_ex","tax_group_purchase"
"fptt_irpf7_0_2","fp_irpf7","iva_sop_ex","irpf_7","tax_group_purchase"
"fptt_irpf2_0","fp_irpf2","iva_sop_ex","iva_sop_ex","tax_group_purchase"
"fptt_irpf2_0_2","fp_irpf2","iva_sop_ex","irpf_2","tax_group_purchase"
"fptt_irpf1_0","fp_irpf1","iva_sop_ex","iva_sop_ex","tax_group_purchase"
"fptt_irpf1_0_2","fp_irpf1","iva_sop_ex","irpf_1","tax_group_purchase"
"fp_reagp_iva_4","fp_reagp","iva_sop_4","iva_reagp_compras_12","tax_group_purchase"
"fp_reagp_iva_4_inv","fp_reagp","iva_sop_4_inv","iva_reagp_compras_12","tax_group_purchase"
"fp_reagp_iva_10","fp_reagp","iva_sop_10","iva_reagp_compras_12","tax_group_purchase"
"fp_reagp_iva_10_inv","fp_reagp","iva_sop_10_inv","iva_reagp_compras_12","tax_group_purchase"
"fp_reagp_iva_21","fp_reagp","iva_sop_21","iva_reagp_compras_12","tax_group_purchase"
"fp_reagp_iva_21_inv","fp_reagp","iva_sop_21_inv","iva_reagp_compras_12","tax_group_purchase"
"fptt_exento_4","fp_exento","iva_sop_4","iva_sop_ex","tax_group_purchase"
"fptt_exento_4_inv","fp_exento","iva_sop_4_inv","iva_sop_ex_inv","tax_group_purchase"
"fptt_exento_10","fp_exento","iva_sop_10","iva_sop_ex","tax_group_purchase"
"fptt_exento_10_inv","fp_exento","iva_sop_10_inv","iva_sop_ex_inv","tax_group_purchase"
"fptt_exento_21","fp_exento","iva_sop_21","iva_sop_ex","tax_group_purchase"
"fptt_exento_21_inv","fp_exento","iva_sop_21_inv","iva_sop_ex_inv","tax_group_purchase"
"fptt_exento_ventas_4","fp_exento","iva_rep_4","iva_rep_ex","tax_group_sale"
"fptt_exento_ventas_10","fp_exento","iva_rep_10","iva_rep_ex","tax_group_sale"
"fptt_exento_ventas_21","fp_exento","iva_rep_21","iva_rep_ex","tax_group_sale"
